Date,Description,Amount,Category
2024-01-02,WHOLEFDS MKT #10452,-87.34,
01/03/2024,SHELL OIL 5748291,-52.18,
2024-01-04,SQ *BLUE BOTTLE COFFEE,-6.75,Food
2024-01-05,AMZN MKTP US*AB12C3D4E,-129.99,
2024-1-6,Netflix.com,-15.99,Entertainment
2024-01-07,UBER   *TRIP HELP.UBER.COM,-23.40,
2024-01-08,CVS/PHARMACY #4412,-18.67,Healthcare
2024-01-09,TST* JOE'S PIZZA DOWNTOWN,-34.50,
01/10/2024,HOMEDEPOT.COM,-203.45,Home
2024-01-11,Spotify USA,-9.99,
2024-01-12,PAYPAL *ETSYSHOP,-45.00,Shopping
2024-01-13,CHECKCARD 1314 SAFEWAY #2910,-64.22,
2024-01-14,GEICO AUTO INSURANCE,-125.00,Insurance
2024-01-15,DOORDASH*CHIPOTLE,-18.99,
2024-01-16,VENMO *JOHN SMITH,-40.00,
2024-01-17,ATM WITHDRAWAL 001234,-100.00,
2024-01-18,APPLE.COM/BILL,-2.99,Entertainment
2024-01-19,WHOLEFDS MKT #10452,-87.34,
2024-01-20,TRANSFER TO SAVINGS,-500.00,
2024-01-21,POS DEBIT THE HOME DEPOT 123,-89.00,
2024-01-22,ZELLE PAYMENT TO LANDLORD,-1800.00,
2024-01-23,STARBUCKS STORE 11234,-5.45,Food
2024-01-24,UNKNOWN MERCHANT 998877,-12.00,
2024-01-25,Refund AMAZON.COM,34.99,
2024-01-26,ACH CREDIT PAYROLL ACME CORP,3200.00,
2024-01-27,COMCAST CABLE COMM,-89.99,Utilities
2024-01-28,LYFT *RIDE,-15.20,
2024-01-29,COSTCO WHSE #0421,-156.78,
2024-01-30,INTEREST CREDIT,1.25,
2024-01-31,PENDING AUTH TARGET T-8821,-0.00,
