Date,Description,Amount,Category
2024-01-01,Grocery Store,-120.50,Food
2024-01-02,Gas Station,-45.00,Transportation
2024-01-03,Restaurant,-35.75,Food
2024-01-04,Amazon Purchase,-89.99,Shopping
2024-01-05,Netflix Subscription,-15.99,Entertainment
2024-01-06,Pharmacy,-25.30,Healthcare
2024-01-07,Uber Ride,-18.50,Transportation
2024-01-08,Coffee Shop,-4.50,Food
2024-01-09,Home Depot,-156.78,Home
2024-01-10,Restaurant,-42.00,Food
2024-01-11,Gym Membership,-50.00,Health
2024-01-12,Spotify Subscription,-9.99,Entertainment
2024-01-13,Grocery Store,-95.25,Food
2024-01-14,Car Insurance,-125.00,Insurance
2024-01-15,Restaurant,-28.50,Food
